method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,congo,OPG092,EBC-06902,96,1,242,180,58,0,1,3,0,0,0
AD,congo,OPG092,EBC-06940,50,1,228,160,59,0,5,2,2,0,0
AD,congo,OPG092,EBC-07213,98,1,220,196,22,0,2,0,0,0,0
AD,congo,OPG092,EBC-07217,87,1,209,177,29,0,0,3,0,0,0
AD,congo,OPG092,EBC-07243,93,1,211,171,36,0,2,0,2,0,0
AD,congo,OPG092,EBC-07301,20,1,207,186,16,0,2,0,3,0,0
AD,congo,OPG092,EBC-07417,85,1,211,154,44,0,3,4,1,5,0
AD,congo,OPG092,EBC-07557,26,1,232,153,70,0,3,4,2,0,0
AD,congo,OPG092,EBC-07606,84,1,224,206,17,0,1,0,0,0,0
AD,congo,OPG092,EBC-07618,68,1,194,148,32,0,3,1,0,10,0
AD,congo,OPG092,EBC-07670,94,1,229,172,51,0,5,1,0,0,0
AD,congo,OPG092,EBC-07683,86,1,228,180,36,0,7,5,0,0,0
AD,congo,OPG092,EBC-07751,97,1,200,152,43,0,2,1,1,1,0
AD,congo,OPG092,EBC-07845,42,1,254,196,49,0,6,2,1,0,0
AD,congo,OPG092,EBC-07988,17,1,279,201,64,0,2,4,3,5,0
AD,congo,OPG092,EBC-08057,88,1,185,153,32,0,0,0,0,0,0
AD,congo,OPG092,EBC-08587,78,1,175,150,25,0,0,0,0,0,0
AD,congo,OPG092,EBC-08713,59,1,221,163,45,0,4,7,2,0,0
AD,congo,OPG092,EBC-08787,21,1,221,178,34,0,4,4,1,0,0
AD,congo,OPG092,EBC-08788,54,1,253,186,58,0,4,1,4,0,0
AD,congo,OPG092,EBC-08915,12,1,245,199,38,0,4,2,2,0,0
AD,congo,OPG092,EBC-09018,92,1,208,170,33,0,3,1,0,1,0
AD,congo,OPG092,EBC-09025,64,1,243,226,12,0,2,0,3,0,0
AD,congo,OPG092,EBC-09032,76,1,190,141,37,0,3,1,3,5,0
AD,congo,OPG092,EBC-09050,91,1,181,159,10,0,5,1,1,5,0
AD,congo,OPG092,EBC-09098,32,1,192,133,49,0,7,1,2,0,0
AD,congo,OPG092,EBC-09177,62,1,244,199,43,0,1,0,1,0,0
AD,congo,OPG092,EBC-11281,4,1,182,130,32,0,2,1,1,16,0
AD,congo,OPG092,EBC-11433,61,1,199,127,61,0,2,2,2,5,0
AD,congo,OPG092,EBC-118033,46,1,210,124,77,0,2,0,2,5,0
AD,congo,OPG092,EBC-12036,67,1,247,180,57,0,7,1,2,0,0
AD,congo,OPG092,EBC-12078,72,1,192,147,27,0,1,0,1,16,0
AD,congo,OPG092,EBC-12508,19,1,270,203,62,0,4,0,1,0,0
AD,congo,OPG092,EBC-12821,27,1,216,119,89,0,3,2,3,0,0
AD,congo,OPG092,EBC-12825,36,1,245,205,31,0,1,3,1,4,0
AD,congo,OPG092,EBC-12878,45,1,253,145,91,0,11,5,1,0,0
AD,congo,OPG092,EBC-12909,95,1,235,174,49,0,7,0,4,1,0
AD,congo,OPG092,EBC-13379,16,1,247,181,53,0,4,5,4,0,0
AD,congo,OPG092,EBC-13607,7,1,303,232,58,0,8,2,3,0,0
AD,congo,OPG092,EBC-14020,14,1,230,181,39,0,1,2,2,5,0
AD,congo,OPG092,EBC-14214,52,1,224,191,25,0,4,2,0,2,0
AD,congo,OPG092,EBC-145027,60,1,245,214,26,0,2,1,2,0,0
AD,congo,OPG092,EBC-145226,51,1,234,152,73,0,8,0,1,0,0
AD,congo,OPG092,EBC-148031,100,1,277,182,82,0,10,3,0,0,0
AD,congo,OPG092,EBC-149094,40,1,190,139,45,0,5,0,1,0,0
AD,congo,OPG092,EBC-149132,39,1,242,199,38,0,3,0,1,1,0
AD,congo,OPG092,EBC-154070,53,1,189,127,51,0,3,4,1,3,0
AD,congo,OPG092,EBC-155082,81,1,200,153,43,0,3,1,0,0,0
AD,congo,OPG092,EBC-157073,25,1,272,254,13,0,4,1,0,0,0
AD,congo,OPG092,EBC-157222,82,1,171,132,39,0,0,0,0,0,0
AD,congo,OPG092,EBC-157248,65,1,203,130,63,0,2,5,3,0,0
