strain,protein,EBC_ID,AD_best_rank,AF_best_rank,AD_n_halogen_bond,AF_n_halogen_bond,AD_n_hbond,AF_n_hbond,AD_n_hydrophobic,AF_n_hydrophobic,AD_n_metal_complex,AF_n_metal_complex,AD_n_pi_cation,AF_n_pi_cation,AD_n_pi_stack,AF_n_pi_stack,AD_n_salt_bridge,AF_n_salt_bridge,AD_n_water_bridge,AF_n_water_bridge,AD_total_interactions,AF_total_interactions,AD_minus_AF_total_interactions,AD_minus_AF_n_hydrophobic,AD_minus_AF_n_hbond,AD_minus_AF_n_water_bridge,AD_minus_AF_n_salt_bridge,AD_minus_AF_n_pi_stack,AD_minus_AF_n_pi_cation,AD_minus_AF_n_halogen_bond,AD_minus_AF_n_metal_complex
congo,OPG092,EBC-252111,,24.0,,0.0,,4.0,,6.0,,0.0,,0.0,,0.0,,1.0,,0.0,,11.0,-11.0,-6.0,-4.0,0.0,-1.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-252122,23.0,,7.0,,44.0,,150.0,,0.0,,2.0,,1.0,,4.0,,0.0,,208.0,,208.0,150.0,44.0,0.0,4.0,1.0,2.0,7.0,0.0
congo,OPG092,EBC-253291,43.0,,0.0,,43.0,,180.0,,0.0,,1.0,,6.0,,2.0,,0.0,,232.0,,232.0,180.0,43.0,0.0,2.0,6.0,1.0,0.0,0.0
congo,OPG092,EBC-26049,,59.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-26139,,54.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-26146,,90.0,,0.0,,0.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-26152,,28.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-27030,69.0,,6.0,,80.0,,106.0,,0.0,,4.0,,0.0,,6.0,,0.0,,202.0,,202.0,106.0,80.0,0.0,6.0,0.0,4.0,6.0,0.0
congo,OPG092,EBC-27122,28.0,,12.0,,92.0,,90.0,,0.0,,3.0,,3.0,,2.0,,0.0,,202.0,,202.0,90.0,92.0,0.0,2.0,3.0,3.0,12.0,0.0
congo,OPG092,EBC-27265,1.0,,1.0,,8.0,,64.0,,0.0,,0.0,,4.0,,0.0,,0.0,,77.0,,77.0,64.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0
congo,OPG092,EBC-27345,29.0,,10.0,,24.0,,127.0,,0.0,,3.0,,0.0,,0.0,,0.0,,164.0,,164.0,127.0,24.0,0.0,0.0,0.0,3.0,10.0,0.0
congo,OPG092,EBC-27428,58.0,,0.0,,69.0,,164.0,,0.0,,1.0,,0.0,,2.0,,0.0,,236.0,,236.0,164.0,69.0,0.0,2.0,0.0,1.0,0.0,0.0
congo,OPG092,EBC-286055,8.0,,0.0,,60.0,,152.0,,0.0,,3.0,,3.0,,3.0,,0.0,,221.0,,221.0,152.0,60.0,0.0,3.0,3.0,3.0,0.0,0.0
congo,OPG092,EBC-287070,9.0,,0.0,,44.0,,223.0,,0.0,,2.0,,1.0,,2.0,,0.0,,272.0,,272.0,223.0,44.0,0.0,2.0,1.0,2.0,0.0,0.0
congo,OPG092,EBC-289041,,11.0,,0.0,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congo,OPG092,EBC-289112,11.0,,0.0,,25.0,,187.0,,0.0,,3.0,,1.0,,1.0,,0.0,,217.0,,217.0,187.0,25.0,0.0,1.0,1.0,3.0,0.0,0.0
congo,OPG092,EBC-290041,44.0,,7.0,,160.0,,127.0,,0.0,,1.0,,4.0,,28.0,,0.0,,327.0,,327.0,127.0,160.0,0.0,28.0,4.0,1.0,7.0,0.0
